"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         290,      -3.501330215,      -3.040891683,      -3.017177353,      -7.774227139
          0,           0,         291,      -3.494859976,      -3.049535683,      -3.029326343,      -7.774262143
          0,           0,         292,      -3.490154431,      -3.058237193,      -3.039510473,      -7.774705814
          0,           0,         293,      -3.487150885,      -3.066866873,      -3.047532248,      -7.775567939
          0,           0,         294,      -3.485738962,      -3.075378011,      -3.053299858,      -7.776797697
          0,           0,         295,      -3.485855299,      -3.083650056,      -3.056864646,      -7.778362282
          0,           0,         296,      -3.487393232,      -3.091579617,      -3.058428972,      -7.780214857
          0,           0,         297,       -3.49024779,      -3.099115641,      -3.058262937,      -7.782301443
          0,           0,         298,       -3.49429961,      -3.106216976,      -3.056737027,      -7.784580158
          0,           0,         299,       -3.49951132,      -3.112765657,      -3.053960454,       -7.78700301
          0,           0,         300,      -3.505848732,      -3.118708982,       -3.05000107,       -7.78954416
          0,           0,         301,      -3.513054095,      -3.124058322,       -3.04564577,      -7.792211261
          0,           0,         302,      -3.521037955,      -3.128772454,      -3.041209851,      -7.794940394
          0,           0,         303,      -3.529721191,      -3.132751505,      -3.036908933,      -7.797661294
          0,           0,         304,      -3.539000716,       -3.13594929,        -3.0329115,      -7.800295993
          0,           0,         305,      -3.548792544,      -3.138319228,      -3.029367065,      -7.802787015
          0,           0,         306,      -3.559043898,      -3.139862268,      -3.026344266,      -7.805103849
          0,           0,         307,       -3.56958752,      -3.140452459,      -3.023969974,      -7.807191761
          0,           0,         308,      -3.580422533,      -3.140132422,      -3.022206608,      -7.809046081
          0,           0,         309,      -3.591550825,      -3.138985939,      -3.020822773,      -7.810700974
          0,           0,         310,      -3.602786394,      -3.136939514,      -3.020002444,       -7.81209534
          0,           0,         311,      -3.614108697,      -3.134088881,      -3.019719881,      -7.813208418
          0,           0,         312,      -3.625467949,      -3.130506752,      -3.019928816,      -7.814084437
          0,           0,         313,      -3.636839401,      -3.126320152,      -3.020564328,       -7.81465404
          0,           0,         314,      -3.648186835,      -3.121616866,      -3.021532184,      -7.814928338
          0,           0,         315,      -3.659479273,      -3.116420352,       -3.02283858,      -7.814875991
          0,           0,         316,      -3.670648432,      -3.110885628,      -3.024452057,      -7.814469199
